Store_Key,Store_Name,Channel,Store_Grade,Region_Key,Sub_Channel,Payment_Term,Latitude,Longitude
67,Market Carr Ltd,Modern Trade,Class A,17,Supermarket,Cash,29.388912,31.871798
68,Supermarket Chavez and Sons,HORECA,Class A,1,Wholesale,Credit 30 Days,31.031761,30.623364
69,Hypermarket Dillon Group,Traditional Trade,Class B,14,Kiosk,Credit 30 Days,29.884454,32.180422
70,Hypermarket Kelley Burns and Davidson,Traditional Trade,Class C,23,Supermarket,Credit 30 Days,28.122988,31.528027
71,Supermarket Walters Walker and Kaiser,HORECA,Class C,29,Cafeteria,Credit 30 Days,31.342008,30.86222
72,Grocery Gomez Ltd,Traditional Trade,Class B,30,Cafeteria,Cash,31.35836,32.780507
73,Hypermarket Reed-Jones,Traditional Trade,Class C,14,Kiosk,Credit 30 Days,28.866617,32.061116
74,Supermarket Patel-Lee,HORECA,Class A,9,Cafeteria,Credit 15 Days,30.712843,30.313997
75,Hypermarket Flowers-Hines,HORECA,Class B,30,Mini Market,Cash,28.40062,32.897193
76,Hypermarket Jacobson-Ray,Modern Trade,Class A,33,Supermarket,Cash,31.024336,32.094306
77,Market Alvarez Inc,Modern Trade,Class A,25,Cafeteria,Credit 15 Days,27.305114,31.891505
78,Supermarket Gregory Hansen and Massey,HORECA,Class A,29,Cafeteria,Credit 30 Days,28.979453,29.118136
79,Hypermarket Holt Group,HORECA,Class A,27,Mini Market,Credit 30 Days,30.462425,31.460432
80,Grocery Arroyo PLC,Traditional Trade,Class C,30,Mini Market,Credit 15 Days,28.099798,32.103879
81,Market Taylor LLC,Modern Trade,Class B,25,Mini Market,Credit 15 Days,28.413438,32.376859
82,Grocery Brewer and Sons,Traditional Trade,Class B,14,Restaurant,Cash,29.848461,29.462353
83,Hypermarket Harris-Johnston,Traditional Trade,Class C,12,Mini Market,Credit 30 Days,30.367517,32.367207
84,Supermarket White Rhodes and Pittman,Traditional Trade,Class A,11,Wholesale,Credit 30 Days,29.936594,32.122546
85,Grocery Hill LLC,Traditional Trade,Class A,24,Wholesale,Cash,28.51896,31.873918
86,Supermarket Hill-Santos,Modern Trade,Class B,8,Supermarket,Credit 30 Days,27.991442,32.686066
87,Grocery Boyer Odonnell and Bishop,HORECA,Class A,29,Wholesale,Credit 15 Days,29.237421,30.935767
88,Grocery Hart Bradley and Haynes,HORECA,Class C,14,Mini Market,Cash,27.14624,32.156795
89,Hypermarket Poole Group,Traditional Trade,Class B,2,Kiosk,Credit 30 Days,30.585856,31.525388
90,Hypermarket Young and Sons,HORECA,Class C,5,Wholesale,Cash,29.699847,30.110043
91,Market Navarro-Jackson,Modern Trade,Class B,28,Cafeteria,Cash,29.54795,32.044186
92,Market Hardin Harris and Thomas,Modern Trade,Class A,20,Kiosk,Credit 15 Days,29.424577,29.243381
93,Hypermarket Campos Ltd,Modern Trade,Class C,5,Mini Market,Credit 30 Days,29.102776,31.078664
94,Grocery Martinez PLC,Traditional Trade,Class B,22,Mini Market,Cash,27.252982,30.530794
95,Market Mayo Stewart and Reilly,Modern Trade,Class A,21,Kiosk,Credit 30 Days,30.061396,30.013412
96,Hypermarket Pratt Lopez and Peters,Modern Trade,Class B,23,Supermarket,Cash,27.948825,31.225443
97,Hypermarket Mcdaniel-Bullock,Modern Trade,Class C,13,Mini Market,Credit 15 Days,28.717811,31.315577
98,Market Sharp-Stokes,HORECA,Class C,35,Supermarket,Credit 30 Days,30.358598,29.109642
99,Market Delgado Mason and Castro,HORECA,Class B,30,Kiosk,Cash,30.176594,32.474167
100,Market Wallace Wilson and King,Traditional Trade,Class C,35,Restaurant,Credit 30 Days,28.368632,32.110933
101,Hypermarket Burke-Maldonado,Modern Trade,Class B,25,Cafeteria,Credit 15 Days,27.842291,31.83359
102,Grocery Rose-Thornton,HORECA,Class C,15,Cafeteria,Credit 15 Days,30.791055,30.672579
103,Hypermarket Potts Ltd,Modern Trade,Class C,1,Cafeteria,Credit 30 Days,27.825641,30.937806
104,Grocery Anderson Inc,Modern Trade,Class B,17,Restaurant,Cash,29.074657,30.144032
105,Hypermarket Olsen Larson and Gonzales,Traditional Trade,Class B,22,Kiosk,Credit 15 Days,29.406664,31.240903
106,Grocery Silva Group,Modern Trade,Class B,3,Kiosk,Cash,27.102545,31.03831
107,Grocery Clark Group,Modern Trade,Class C,20,Supermarket,Credit 30 Days,29.73394,31.37412
108,Hypermarket Gilmore Group,Traditional Trade,Class B,33,Cafeteria,Credit 15 Days,28.078491,32.255666
109,Hypermarket Gilmore PLC,HORECA,Class C,1,Mini Market,Cash,28.279625,32.297099
110,Hypermarket Taylor Ltd,Traditional Trade,Class C,30,Supermarket,Credit 30 Days,31.028254,31.485777
111,Hypermarket Ramirez LLC,Traditional Trade,Class A,14,Restaurant,Credit 15 Days,31.247901,31.440149
112,Market Barnett-Sanchez,Traditional Trade,Class C,30,Restaurant,Credit 30 Days,30.177935,29.532061
113,Market Stevens-Mack,HORECA,Class A,4,Cafeteria,Credit 30 Days,27.698195,31.109927
114,Market Jones Weaver and Gray,Modern Trade,Class B,30,Kiosk,Cash,29.114878,30.797047
115,Supermarket Olson Bradshaw and Phillips,Modern Trade,Class B,35,Mini Market,Cash,27.530507,31.950914
116,Grocery Hill-Jones,Traditional Trade,Class B,10,Kiosk,Credit 15 Days,28.157751,29.07288
117,Grocery King LLC,HORECA,Class A,2,Supermarket,Cash,30.346404,29.791358
118,Market Martinez-Carter,HORECA,Class B,27,Wholesale,Cash,29.183732,29.791845
119,Hypermarket Duarte Huffman and Malone,Traditional Trade,Class B,2,Mini Market,Cash,27.394774,32.477387
120,Supermarket Burgess PLC,Modern Trade,Class C,12,Restaurant,Credit 30 Days,29.262924,29.679534
121,Supermarket Hanna-Obrien,Modern Trade,Class C,2,Supermarket,Cash,31.186436,30.257191
122,Grocery Silva Perkins and Vincent,HORECA,Class A,28,Mini Market,Credit 15 Days,27.84169,31.721374
123,Market Smith-Hernandez,HORECA,Class A,1,Wholesale,Credit 15 Days,31.089108,29.256863
124,Grocery Nolan Peterson and Luna,Traditional Trade,Class A,22,Wholesale,Credit 15 Days,27.126222,32.230332
125,Hypermarket Stokes Dixon and Roberts,Modern Trade,Class C,28,Supermarket,Credit 30 Days,29.453444,32.446544
126,Market Choi Group,HORECA,Class B,9,Supermarket,Cash,29.660391,29.881412
127,Market Wilcox Ford and Powell,Traditional Trade,Class B,1,Restaurant,Cash,30.374227,31.714837
128,Supermarket Hubbard Deleon and Morris,Traditional Trade,Class A,16,Supermarket,Credit 30 Days,29.352622,31.586273
129,Market Griffith Bush and Mccall,Modern Trade,Class A,16,Restaurant,Cash,30.62016,29.434703
130,Hypermarket Carter-Sanchez,HORECA,Class C,18,Wholesale,Cash,27.383772,29.684708
131,Hypermarket Wilson Stephens and Golden,Traditional Trade,Class B,9,Kiosk,Credit 30 Days,31.475576,29.52656
132,Hypermarket Larson Williams and Keller,Modern Trade,Class A,16,Kiosk,Credit 30 Days,28.383271,30.185714
133,Hypermarket Cook Parker and Christensen,Traditional Trade,Class B,27,Cafeteria,Cash,31.288222,30.831432
134,Grocery Payne and Sons,Modern Trade,Class A,17,Supermarket,Credit 30 Days,29.232769,30.577419
135,Supermarket Gilbert Matthews and Hickman,HORECA,Class A,20,Cafeteria,Cash,28.088888,30.611208
136,Hypermarket Stein Ltd,HORECA,Class A,9,Mini Market,Cash,30.712077,30.046132
137,Market Chavez-Wood,Modern Trade,Class B,27,Mini Market,Cash,29.375033,31.162013
138,Hypermarket Phillips Inc,HORECA,Class C,33,Wholesale,Credit 30 Days,27.479735,29.581372
139,Supermarket Evans Kelley and Knight,Traditional Trade,Class C,11,Restaurant,Cash,27.404105,30.491133
140,Hypermarket Barnes Taylor and Lloyd,HORECA,Class C,25,Restaurant,Credit 30 Days,27.404851,30.740863
141,Market Jackson PLC,HORECA,Class B,1,Supermarket,Cash,27.523477,29.628374
142,Market Reed PLC,Modern Trade,Class C,24,Mini Market,Cash,29.634101,29.061681
143,Hypermarket Williams-Murillo,HORECA,Class C,20,Supermarket,Cash,31.195081,30.3091
144,Hypermarket Lee LLC,Traditional Trade,Class A,14,Kiosk,Credit 15 Days,30.989035,30.113444
145,Grocery Carroll and Sons,HORECA,Class A,2,Cafeteria,Credit 30 Days,27.677024,29.876409
146,Market Morton-Davis,HORECA,Class C,21,Cafeteria,Credit 15 Days,28.445462,30.693763
147,Hypermarket Estrada Ltd,Traditional Trade,Class B,23,Kiosk,Credit 15 Days,29.454595,30.576165
148,Hypermarket Miller-Flores,HORECA,Class B,1,Kiosk,Credit 30 Days,29.163543,30.268334
149,Market Williams Group,HORECA,Class A,26,Supermarket,Credit 30 Days,29.041841,31.993467
150,Market Wilkinson Dixon and Kennedy,HORECA,Class A,19,Wholesale,Cash,29.322155,29.793194
151,Hypermarket Cannon-Silva,Traditional Trade,Class A,20,Supermarket,Cash,28.369599,30.47841
152,Grocery Andrews LLC,Modern Trade,Class C,24,Kiosk,Cash,28.303602,32.049756
153,Supermarket Perez Carter and Paul,Modern Trade,Class B,6,Restaurant,Cash,30.988331,29.269732
154,Market Hopkins-Adams,HORECA,Class A,17,Kiosk,Credit 30 Days,29.925707,32.337243
155,Hypermarket Brooks Nicholson and White,Modern Trade,Class A,4,Kiosk,Credit 15 Days,31.04968,29.19321
156,Hypermarket Lowe-Wolfe,Traditional Trade,Class C,30,Wholesale,Cash,28.967363,32.566932
157,Hypermarket Malone Rios and Walker,Modern Trade,Class A,2,Mini Market,Credit 30 Days,30.542579,31.26795
158,Hypermarket Espinoza Cline and Williams,Modern Trade,Class B,22,Supermarket,Credit 15 Days,30.176013,29.195813
159,Grocery Dixon Smith and Davis,HORECA,Class C,29,Cafeteria,Cash,30.877601,31.032452
160,Supermarket Johnson-Gonzalez,HORECA,Class B,1,Restaurant,Credit 30 Days,31.335932,32.47612
161,Market Villa LLC,Modern Trade,Class C,23,Restaurant,Credit 15 Days,28.715999,31.09622
162,Hypermarket Mcguire-Evans,Modern Trade,Class B,2,Supermarket,Cash,30.162907,29.916998
163,Grocery Murray-Moore,HORECA,Class A,22,Restaurant,Cash,28.991102,29.888513
164,Supermarket Clayton Ltd,Modern Trade,Class C,29,Wholesale,Credit 30 Days,30.87606,31.271792
165,Hypermarket Gonzales-Cole,HORECA,Class C,11,Kiosk,Credit 30 Days,27.916247,32.463846
166,Hypermarket Wilkins-Lee,Traditional Trade,Class B,23,Cafeteria,Credit 30 Days,29.603975,29.505621
167,Supermarket Davis Ltd,HORECA,Class B,24,Supermarket,Cash,28.785215,30.775727
168,Market Hanna-Hunter,Modern Trade,Class C,22,Cafeteria,Credit 30 Days,29.042784,30.824925
169,Supermarket Allen-Jones,HORECA,Class A,24,Mini Market,Cash,30.990576,31.345713
170,Supermarket Jones-Roberts,Modern Trade,Class A,32,Mini Market,Cash,29.278145,32.448842
171,Market Oconnor Frank and Powell,Modern Trade,Class C,7,Kiosk,Credit 30 Days,28.069333,29.187035
172,Supermarket Torres and Sons,Traditional Trade,Class A,3,Cafeteria,Credit 15 Days,31.444554,30.611489
173,Hypermarket David Howard and Johnson,Modern Trade,Class C,5,Restaurant,Cash,30.874131,32.075492
174,Grocery Santos Castillo and Thomas,Modern Trade,Class B,34,Supermarket,Credit 15 Days,29.602514,29.543143
175,Grocery Miller Washington and Herrera,HORECA,Class A,21,Restaurant,Credit 30 Days,30.834777,29.468784
176,Market Johnson-Schneider,HORECA,Class B,22,Cafeteria,Credit 30 Days,29.754662,31.188688
177,Grocery Ward-Sosa,HORECA,Class A,12,Mini Market,Cash,28.167079,30.915176
178,Grocery Jackson Ltd,Traditional Trade,Class A,14,Supermarket,Credit 15 Days,28.459229,29.508585
179,Supermarket Rhodes-Martinez,Modern Trade,Class B,21,Cafeteria,Credit 15 Days,31.055603,30.393189
180,Hypermarket Smith LLC,HORECA,Class B,31,Wholesale,Credit 30 Days,30.7892,31.815631
181,Hypermarket Ramirez-Lambert,HORECA,Class A,3,Cafeteria,Credit 15 Days,30.045908,29.580491
182,Supermarket Greene Inc,Modern Trade,Class C,13,Kiosk,Cash,28.507578,29.428334
183,Supermarket Wilson-White,Traditional Trade,Class A,25,Mini Market,Credit 30 Days,29.505818,31.903347
184,Hypermarket Smith Good and Green,Traditional Trade,Class B,14,Wholesale,Cash,28.384777,29.877671
185,Supermarket Mcdonald LLC,HORECA,Class C,16,Mini Market,Cash,30.579971,31.133023
186,Market Park-Watson,Traditional Trade,Class B,34,Supermarket,Cash,28.854092,29.652107
187,Hypermarket Clark-Thompson,HORECA,Class B,20,Cafeteria,Credit 15 Days,28.774188,30.072652
188,Market Smith Moran and Cline,HORECA,Class B,21,Kiosk,Credit 15 Days,27.829649,30.279741
189,Supermarket Hicks-Ward,Traditional Trade,Class B,24,Cafeteria,Credit 15 Days,28.157463,31.262153
190,Grocery Lee Gonzalez and Thornton,Traditional Trade,Class C,20,Wholesale,Cash,27.837448,29.346955
191,Supermarket Vargas-Reyes,Traditional Trade,Class A,23,Restaurant,Credit 30 Days,27.499832,30.781238
192,Supermarket Gallegos-Gordon,Traditional Trade,Class C,6,Mini Market,Credit 15 Days,28.943209,29.319983
193,Grocery Pearson Robinson and Ramirez,Traditional Trade,Class B,18,Wholesale,Credit 30 Days,27.634974,32.847977
194,Market Carlson PLC,Traditional Trade,Class A,9,Mini Market,Credit 30 Days,28.42922,31.576016
195,Supermarket Perez Cain and Stephens,Modern Trade,Class B,32,Wholesale,Credit 15 Days,29.579689,30.895504
196,Market Castillo LLC,Modern Trade,Class B,33,Mini Market,Credit 30 Days,27.191883,30.391591
197,Supermarket Wright and Sons,Modern Trade,Class B,21,Restaurant,Credit 15 Days,27.975877,32.853002
198,Hypermarket Sexton-Gardner,HORECA,Class C,29,Mini Market,Credit 15 Days,28.460725,32.681511
199,Grocery Bailey-Yates,Traditional Trade,Class B,16,Restaurant,Credit 30 Days,27.339897,32.773387
200,Supermarket Rodriguez-Garcia,Traditional Trade,Class C,11,Wholesale,Cash,28.690404,32.799044
201,Hypermarket Ramirez-Chapman,Modern Trade,Class A,13,Mini Market,Credit 30 Days,29.992918,31.873689
202,Grocery Moreno-Green,Modern Trade,Class A,19,Wholesale,Credit 15 Days,29.570918,29.520275
203,Supermarket Boone-Sanders,Modern Trade,Class C,33,Kiosk,Credit 15 Days,28.813197,29.233465
204,Grocery Taylor Smith and Olsen,Traditional Trade,Class B,3,Kiosk,Cash,30.129203,29.324973
205,Grocery Hull Hall and Evans,Modern Trade,Class A,5,Mini Market,Credit 15 Days,27.00177,31.058672
206,Hypermarket Pruitt-Carr,Modern Trade,Class A,31,Restaurant,Credit 30 Days,28.195899,32.63078
207,Supermarket Smith PLC,Modern Trade,Class A,33,Cafeteria,Credit 15 Days,29.296318,31.289236
208,Supermarket Williams Braun and Howell,HORECA,Class B,23,Cafeteria,Cash,28.780921,29.151778
209,Market Lyons Inc,HORECA,Class C,14,Cafeteria,Credit 15 Days,28.103018,29.100406
210,Supermarket Austin-Montgomery,HORECA,Class B,26,Supermarket,Credit 30 Days,27.322686,29.93775
211,Grocery Flores Underwood and Sloan,HORECA,Class B,11,Mini Market,Credit 15 Days,30.373546,29.661829
212,Hypermarket Salas-Lopez,Traditional Trade,Class B,9,Wholesale,Credit 30 Days,30.828774,29.344464
213,Supermarket Townsend Ltd,Traditional Trade,Class A,20,Wholesale,Credit 15 Days,27.133979,30.155022
214,Supermarket Miller Ltd,Modern Trade,Class A,6,Mini Market,Credit 30 Days,29.275375,29.840011
215,Supermarket Chavez Ltd,Traditional Trade,Class C,7,Wholesale,Credit 15 Days,28.274618,31.003019
216,Supermarket Torres Inc,HORECA,Class B,33,Mini Market,Credit 30 Days,30.004881,30.248806
217,Hypermarket Garcia Ltd,Traditional Trade,Class B,6,Supermarket,Credit 15 Days,27.29953,31.678594
218,Market Jacobson PLC,HORECA,Class B,31,Restaurant,Cash,29.711174,30.514785
219,Grocery Rodriguez Maynard and Garcia,Traditional Trade,Class B,15,Wholesale,Credit 15 Days,28.167176,32.869872
220,Grocery Walker Warren and Morris,Traditional Trade,Class B,2,Mini Market,Credit 15 Days,28.656583,30.024238
221,Grocery Perkins and Sons,Traditional Trade,Class B,24,Mini Market,Cash,30.485617,29.930852
222,Hypermarket Mendez Tucker and Martin,Traditional Trade,Class A,3,Wholesale,Cash,28.243056,32.344055
223,Grocery Santos-Reynolds,HORECA,Class A,27,Restaurant,Credit 30 Days,30.640293,31.368524
224,Grocery Simmons-Miller,Traditional Trade,Class C,9,Restaurant,Cash,30.124799,30.208256
225,Market Harper-Henderson,Traditional Trade,Class A,9,Cafeteria,Credit 15 Days,29.415494,31.925998
226,Market Davis Walton and Smith,Modern Trade,Class C,16,Wholesale,Credit 15 Days,31.316378,29.59838
227,Market Collier-Robertson,Traditional Trade,Class A,6,Supermarket,Cash,31.396155,32.230068
228,Market Johnson-Thompson,Modern Trade,Class A,23,Cafeteria,Cash,27.764612,30.57161
229,Grocery Floyd PLC,Traditional Trade,Class A,23,Mini Market,Credit 30 Days,27.724358,32.48171
230,Grocery Horne Group,Traditional Trade,Class B,25,Cafeteria,Cash,27.885874,29.631395
231,Grocery Wagner Edwards and Jones,HORECA,Class A,20,Cafeteria,Credit 30 Days,28.996244,31.853984
232,Grocery Ramirez Inc,Modern Trade,Class C,4,Supermarket,Credit 30 Days,29.309381,29.440266
233,Supermarket Cantrell-Wilson,HORECA,Class A,24,Wholesale,Cash,28.637353,32.584
234,Grocery Thomas Benson and Herring,Traditional Trade,Class A,25,Wholesale,Credit 15 Days,31.414539,30.549078
235,Grocery Williams Davis and Galvan,Traditional Trade,Class A,18,Wholesale,Credit 15 Days,29.543268,32.701549
236,Supermarket Skinner LLC,Traditional Trade,Class B,2,Wholesale,Credit 30 Days,27.654997,30.582012
237,Market Ramirez Ltd,Traditional Trade,Class C,8,Cafeteria,Credit 15 Days,31.003013,32.481802
238,Hypermarket Phillips Inc,Traditional Trade,Class B,7,Wholesale,Credit 30 Days,30.109697,31.451163
239,Supermarket Craig-Moreno,Modern Trade,Class B,32,Kiosk,Credit 15 Days,29.519231,31.770304
240,Grocery Leon Mcdonald and Dunlap,HORECA,Class A,1,Supermarket,Credit 30 Days,30.791358,31.385198
241,Hypermarket Nichols PLC,HORECA,Class A,4,Kiosk,Cash,27.129495,30.263901
242,Grocery Robinson Ltd,HORECA,Class B,34,Cafeteria,Cash,30.592331,30.838633
243,Grocery Lee PLC,Traditional Trade,Class C,33,Supermarket,Cash,28.608282,32.485385
244,Supermarket Bell-Warner,HORECA,Class A,23,Supermarket,Credit 15 Days,27.281695,32.162958
245,Market Herring-Martinez,Traditional Trade,Class B,35,Cafeteria,Credit 30 Days,27.95307,30.328252
246,Supermarket Neal-Bass,HORECA,Class B,20,Supermarket,Credit 30 Days,31.297362,29.691953
247,Grocery Rowland-Porter,Traditional Trade,Class B,1,Kiosk,Cash,29.290456,30.525413
248,Grocery Peters Rodriguez and Gallagher,HORECA,Class B,35,Cafeteria,Cash,30.531405,30.764228
249,Market Barber Sims and Lopez,HORECA,Class B,18,Wholesale,Credit 15 Days,27.538081,29.929726
250,Supermarket Roberts LLC,HORECA,Class B,21,Restaurant,Credit 15 Days,30.459484,32.56334
251,Supermarket White Ramos and Brown,Modern Trade,Class B,27,Restaurant,Credit 15 Days,30.023311,30.598967
252,Market Anderson Group,Traditional Trade,Class C,35,Kiosk,Credit 30 Days,31.319705,30.905334
253,Grocery Bond Group,Modern Trade,Class A,10,Cafeteria,Credit 30 Days,31.456622,31.824587
254,Market Kim-Lopez,Traditional Trade,Class C,31,Restaurant,Cash,29.975616,31.066463
255,Hypermarket Smith Inc,HORECA,Class A,26,Wholesale,Credit 15 Days,29.515973,30.735312
256,Supermarket Gonzalez-Fox,Modern Trade,Class B,17,Supermarket,Credit 15 Days,29.881038,31.984407
257,Grocery Holden-Jacobs,Modern Trade,Class B,5,Kiosk,Credit 30 Days,30.650213,30.326406
258,Grocery Gordon-Kelley,HORECA,Class C,28,Mini Market,Credit 30 Days,29.347019,30.705912
259,Grocery Hill Inc,Traditional Trade,Class A,30,Mini Market,Cash,29.202339,30.152837
260,Market Nichols and Sons,Traditional Trade,Class A,29,Supermarket,Cash,29.486434,31.979248
261,Supermarket Gamble LLC,HORECA,Class C,23,Wholesale,Credit 15 Days,30.846738,30.972903
262,Market Curtis Inc,HORECA,Class C,34,Supermarket,Credit 30 Days,29.608542,32.118301
263,Market Vasquez PLC,Traditional Trade,Class B,1,Cafeteria,Credit 30 Days,30.185451,32.467955
264,Grocery Brown Gonzales and Chase,HORECA,Class C,1,Mini Market,Cash,31.222016,31.941903
265,Supermarket Castillo Group,HORECA,Class C,18,Wholesale,Credit 15 Days,27.034615,31.693162
266,Supermarket Hunter-Carter,Modern Trade,Class C,17,Supermarket,Credit 30 Days,29.833924,31.91794
