Date_Key,Region_Key,Brand_Name,Volume_Share_%,Value_Share_%,Competitor_Price,Availability_Status,Shelf_Space_Share
2023-01-01,32,Spiro Spathis,38.84,41.93,12.64,Yes,19.0
2023-01-01,32,V7,21.02,21.04,18.94,Yes,20.8
2023-01-01,32,Sina Cola,32.97,38.5,27.93,Yes,11.3
2023-01-01,33,Shams-Cola,17.93,18.82,24.42,Yes,43.1
2023-01-01,33,Pepsi,6.51,5.76,27.12,Yes,41.0
2023-01-01,33,Coca-Cola,36.02,32.19,11.85,Yes,32.0
2023-01-01,33,Big Cola,26.03,21.19,10.46,Yes,31.6
2023-01-01,33,Spiro Spathis,28.08,25.76,14.36,Yes,42.0
2023-01-01,33,V7,18.09,19.4,15.66,Yes,30.9
2023-01-01,33,Sina Cola,7.63,6.93,19.66,Yes,28.6
2023-01-01,34,Shams-Cola,14.91,16.57,22.83,Yes,41.8
2023-01-01,34,Pepsi,16.72,17.33,14.98,Yes,25.3
2023-01-01,34,Coca-Cola,21.09,17.47,13.82,Yes,49.7
2023-01-01,34,Big Cola,12.69,12.98,10.97,Yes,21.1
2023-01-01,34,Spiro Spathis,11.66,10.28,10.26,Yes,40.3
2023-01-01,34,V7,16.86,15.23,13.8,Yes,47.0
2023-01-01,34,Sina Cola,33.84,30.73,12.46,Yes,7.9
2023-01-01,35,Shams-Cola,27.5,30.04,14.37,Yes,41.5
2023-01-01,35,Pepsi,8.23,7.94,16.83,Yes,47.1
2023-01-01,35,Coca-Cola,10.52,10.0,25.76,Yes,31.9
2023-01-01,35,Big Cola,27.3,24.2,23.9,Yes,13.0
2023-01-01,35,Spiro Spathis,8.88,10.49,18.78,Yes,49.3
2023-01-01,35,V7,24.49,27.46,12.91,Yes,9.2
2023-01-01,35,Sina Cola,17.37,15.25,28.6,Yes,10.2
2023-02-01,1,Shams-Cola,21.63,18.95,24.61,Yes,6.0
2023-02-01,1,Pepsi,4.99,5.85,13.49,Yes,24.7
2023-02-01,1,Coca-Cola,8.2,6.77,28.22,Yes,8.9
2023-02-01,1,Big Cola,4.26,5.0,27.75,Yes,14.7
2023-02-01,1,Spiro Spathis,16.26,16.72,22.54,No,36.2
2023-02-01,1,V7,21.14,23.83,21.18,Yes,43.2
2023-02-01,1,Sina Cola,30.73,32.18,17.69,Yes,40.8
2023-02-01,2,Shams-Cola,8.19,7.3,13.29,Yes,39.9
2023-02-01,2,Pepsi,5.18,6.08,12.1,Yes,47.3
2023-02-01,2,Coca-Cola,6.77,5.51,13.0,Yes,7.0
2023-02-01,2,Big Cola,7.88,6.67,25.61,Yes,40.0
2023-02-01,2,Spiro Spathis,16.09,14.09,12.6,No,13.0
2023-02-01,2,V7,36.21,34.04,10.22,Yes,39.6
2023-02-01,2,Sina Cola,33.99,32.8,15.72,No,36.5
2023-02-01,3,Shams-Cola,26.38,26.01,16.43,Yes,22.7
2023-02-01,3,Pepsi,26.1,26.1,11.84,Yes,25.6
2023-02-01,3,Coca-Cola,28.66,27.44,20.32,Yes,35.7
2023-02-01,3,Big Cola,3.77,3.07,25.94,Yes,47.0
2023-02-01,3,Spiro Spathis,8.9,10.63,13.56,Yes,25.3
2023-02-01,3,V7,27.75,23.73,18.39,Yes,27.5
2023-02-01,3,Sina Cola,32.19,38.46,21.48,Yes,8.7
2023-02-01,4,Shams-Cola,2.93,2.45,10.48,Yes,45.5
2023-02-01,4,Pepsi,27.52,24.92,17.57,Yes,18.2
2023-02-01,4,Coca-Cola,18.55,21.16,19.72,Yes,33.3
2023-02-01,4,Big Cola,20.28,17.48,26.9,Yes,13.8
2023-02-01,4,Spiro Spathis,16.98,14.93,29.52,Yes,23.4
2023-02-01,4,V7,29.83,30.41,20.6,No,10.0
2023-02-01,4,Sina Cola,13.58,15.32,15.29,Yes,20.7
2023-02-01,5,Shams-Cola,6.06,7.03,22.47,Yes,6.0
2023-02-01,5,Pepsi,37.06,43.7,14.73,Yes,23.5
2023-02-01,5,Coca-Cola,16.67,17.59,28.26,Yes,31.1
2023-02-01,5,Big Cola,24.45,24.32,11.71,Yes,38.3
2023-02-01,5,Spiro Spathis,2.04,1.82,23.82,No,46.0
2023-02-01,5,V7,22.69,24.28,17.46,Yes,13.1
2023-02-01,5,Sina Cola,14.92,12.13,15.74,Yes,29.0
2023-02-01,6,Shams-Cola,2.39,2.45,24.33,Yes,12.3
2023-02-01,6,Pepsi,12.2,10.93,17.51,Yes,19.3
2023-02-01,6,Coca-Cola,39.84,46.41,17.66,Yes,33.0
2023-02-01,6,Big Cola,20.21,18.05,20.58,Yes,7.2
2023-02-01,6,Spiro Spathis,38.15,45.24,28.41,Yes,35.2
2023-02-01,6,V7,34.8,35.66,15.13,No,34.9
2023-02-01,6,Sina Cola,15.85,14.52,16.72,Yes,48.6
2023-02-01,7,Shams-Cola,24.23,24.9,11.77,Yes,22.4
2023-02-01,7,Pepsi,9.45,10.4,15.77,Yes,35.4
2023-02-01,7,Coca-Cola,12.66,11.97,21.94,No,26.9
2023-02-01,7,Big Cola,6.8,7.88,10.26,Yes,6.5
2023-02-01,7,Spiro Spathis,23.98,20.09,15.12,Yes,24.9
2023-02-01,7,V7,33.36,31.53,29.53,No,35.1
2023-02-01,7,Sina Cola,34.5,28.71,10.04,Yes,24.1
2023-02-01,8,Shams-Cola,28.28,28.37,25.57,Yes,31.5
2023-02-01,8,Pepsi,14.19,16.65,21.82,Yes,43.0
2023-02-01,8,Coca-Cola,9.96,11.3,21.44,Yes,30.8
2023-02-01,8,Big Cola,20.91,23.35,10.83,Yes,31.8
2023-02-01,8,Spiro Spathis,11.7,10.33,21.18,Yes,35.9
2023-02-01,8,V7,12.2,11.75,11.28,Yes,19.4
2023-02-01,8,Sina Cola,21.39,25.04,22.44,Yes,44.0
2023-02-01,9,Shams-Cola,37.43,36.71,17.28,Yes,47.7
2023-02-01,9,Pepsi,6.2,6.7,26.11,Yes,49.2
2023-02-01,9,Coca-Cola,26.88,31.6,19.72,No,24.5
2023-02-01,9,Big Cola,4.46,4.69,26.1,Yes,18.5
2023-02-01,9,Spiro Spathis,3.93,3.63,21.79,Yes,15.2
2023-02-01,9,V7,7.34,7.28,25.35,Yes,25.2
2023-02-01,9,Sina Cola,30.5,27.08,10.35,Yes,8.7
2023-02-01,10,Shams-Cola,11.68,12.26,20.53,No,11.0
2023-02-01,10,Pepsi,2.48,2.45,25.63,Yes,7.3
2023-02-01,10,Coca-Cola,17.69,16.65,27.84,Yes,47.4
2023-02-01,10,Big Cola,13.01,12.01,24.62,Yes,49.5
2023-02-01,10,Spiro Spathis,3.19,3.0,10.82,Yes,36.2
2023-02-01,10,V7,16.96,15.48,29.76,Yes,29.1
2023-02-01,10,Sina Cola,10.12,11.67,23.04,Yes,6.5
2023-02-01,11,Shams-Cola,21.11,19.41,15.69,Yes,21.0
2023-02-01,11,Pepsi,14.94,17.14,26.94,No,17.8
2023-02-01,11,Coca-Cola,10.15,11.03,20.63,Yes,37.1
2023-02-01,11,Big Cola,17.99,21.4,15.02,Yes,13.2
2023-02-01,11,Spiro Spathis,20.15,22.15,27.41,Yes,23.7
2023-02-01,11,V7,32.18,36.42,16.96,Yes,31.3
2023-02-01,11,Sina Cola,3.15,2.95,10.99,Yes,9.2
2023-02-01,12,Shams-Cola,28.45,28.15,23.11,Yes,29.0
2023-02-01,12,Pepsi,38.33,42.1,27.04,Yes,5.3
2023-02-01,12,Coca-Cola,13.52,12.49,20.25,Yes,23.7
2023-02-01,12,Big Cola,18.72,21.11,11.82,Yes,10.8
2023-02-01,12,Spiro Spathis,33.92,37.14,10.87,No,10.1
2023-02-01,12,V7,19.27,21.05,18.7,Yes,47.0
2023-02-01,12,Sina Cola,13.91,11.95,20.93,Yes,44.7
2023-02-01,13,Shams-Cola,18.73,17.49,22.22,Yes,6.8
2023-02-01,13,Pepsi,34.21,36.79,10.13,Yes,48.6
2023-02-01,13,Coca-Cola,20.62,20.25,13.3,Yes,28.9
2023-02-01,13,Big Cola,16.81,14.4,20.08,Yes,20.9
2023-02-01,13,Spiro Spathis,39.7,34.32,19.66,Yes,8.3
2023-02-01,13,V7,33.94,36.97,23.24,Yes,49.0
2023-02-01,13,Sina Cola,5.39,4.91,25.86,Yes,6.7
2023-02-01,14,Shams-Cola,39.97,45.45,20.67,Yes,48.7
2023-02-01,14,Pepsi,19.32,21.97,26.28,Yes,29.9
2023-02-01,14,Coca-Cola,35.93,41.04,19.11,No,13.3
2023-02-01,14,Big Cola,3.92,3.82,15.36,No,46.4
2023-02-01,14,Spiro Spathis,4.59,4.57,12.6,Yes,6.0
2023-02-01,14,V7,33.9,30.82,19.51,Yes,49.9
2023-02-01,14,Sina Cola,14.23,15.27,13.99,Yes,12.0
2023-02-01,15,Shams-Cola,15.85,17.24,19.52,No,32.3
2023-02-01,15,Pepsi,32.76,37.09,25.92,Yes,5.2
2023-02-01,15,Coca-Cola,38.11,37.95,16.93,Yes,7.8
2023-02-01,15,Big Cola,10.96,9.27,21.76,Yes,29.7
2023-02-01,15,Spiro Spathis,32.06,31.71,21.84,Yes,20.1
2023-02-01,15,V7,30.49,31.11,23.59,Yes,5.6
2023-02-01,15,Sina Cola,23.81,21.78,26.94,Yes,13.8
2023-02-01,16,Shams-Cola,38.39,37.55,19.9,Yes,29.2
2023-02-01,16,Pepsi,38.57,36.36,15.51,Yes,37.2
2023-02-01,16,Coca-Cola,18.67,15.67,19.3,No,27.5
2023-02-01,16,Big Cola,17.52,17.91,26.31,Yes,9.3
2023-02-01,16,Spiro Spathis,28.95,29.37,14.96,Yes,46.3
2023-02-01,16,V7,32.06,26.64,19.61,Yes,14.3
2023-02-01,16,Sina Cola,28.3,28.0,17.38,Yes,39.8
2023-02-01,17,Shams-Cola,7.24,5.94,16.51,Yes,23.2
2023-02-01,17,Pepsi,15.1,14.62,15.5,Yes,37.1
2023-02-01,17,Coca-Cola,38.34,32.24,12.37,Yes,30.5
2023-02-01,17,Big Cola,29.36,25.33,29.09,Yes,22.8
2023-02-01,17,Spiro Spathis,29.77,28.3,10.77,Yes,15.9
2023-02-01,17,V7,6.68,7.44,16.17,Yes,19.4
2023-02-01,17,Sina Cola,11.52,10.18,22.65,Yes,29.0
2023-02-01,18,Shams-Cola,30.79,28.19,16.59,Yes,37.6
2023-02-01,18,Pepsi,4.08,4.49,18.12,Yes,15.6
2023-02-01,18,Coca-Cola,14.74,15.4,18.54,Yes,18.3
2023-02-01,18,Big Cola,25.53,26.39,29.55,Yes,10.6
2023-02-01,18,Spiro Spathis,19.41,19.28,19.51,Yes,6.4
2023-02-01,18,V7,21.52,23.92,23.55,Yes,10.3
2023-02-01,18,Sina Cola,38.52,32.21,19.1,Yes,21.6
2023-02-01,19,Shams-Cola,17.8,16.37,28.9,Yes,39.3
2023-02-01,19,Pepsi,4.1,4.85,20.71,No,40.9
2023-02-01,19,Coca-Cola,31.84,36.15,28.1,Yes,9.4
2023-02-01,19,Big Cola,17.43,18.63,13.11,Yes,40.6
2023-02-01,19,Spiro Spathis,24.89,19.91,29.42,Yes,6.6
2023-02-01,19,V7,29.45,33.0,27.1,Yes,35.9
2023-02-01,19,Sina Cola,23.06,18.96,18.9,Yes,7.6
2023-02-01,20,Shams-Cola,9.76,11.41,10.12,Yes,7.8
2023-02-01,20,Pepsi,26.68,26.62,19.62,Yes,45.1
2023-02-01,20,Coca-Cola,37.35,37.55,27.78,Yes,24.6
2023-02-01,20,Big Cola,9.27,8.58,16.86,Yes,38.5
2023-02-01,20,Spiro Spathis,26.65,29.74,17.54,Yes,14.3
2023-02-01,20,V7,39.08,43.64,18.19,Yes,15.6
2023-02-01,20,Sina Cola,26.99,23.3,20.75,Yes,30.0
2023-02-01,21,Shams-Cola,9.01,8.78,18.23,No,26.0
2023-02-01,21,Pepsi,33.39,34.05,13.1,Yes,35.9
2023-02-01,21,Coca-Cola,26.23,27.84,21.99,Yes,22.5
2023-02-01,21,Big Cola,32.43,37.3,13.42,Yes,12.0
2023-02-01,21,Spiro Spathis,5.72,5.9,10.9,Yes,6.1
